group_name,technique_id,attack_id,technique,tactic,platforms
Lazarus Group,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27,T1098,Account Manipulation,persistence,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27,T1098,Account Manipulation,privilege-escalation,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT28,attack-pattern--eb125d40-0b2d-41ac-a71a-3229241c2cd3,T1037.001,Logon Script (Windows),persistence,Windows
APT28,attack-pattern--eb125d40-0b2d-41ac-a71a-3229241c2cd3,T1037.001,Logon Script (Windows),privilege-escalation,Windows
APT41,attack-pattern--58a3e6aa-4453-4cc8-a51f-4befe80b31a8,T1555.003,Credentials from Web Browsers,credential-access,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,T1564.001,Hidden Files and Directories,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,T1588.002,Tool,resource-development,PRE
Lazarus Group,attack-pattern--d45a3d09-b3cf-48f4-9f0f-f521ee5cb05c,T1485,Data Destruction,impact,"Containers, ESXi, IaaS, Linux, macOS, Windows"
APT28,attack-pattern--cbb66055-0325-4111-aca0-40547b6ad5b0,T1564.003,Hidden Window,stealth,"Linux, macOS, Windows"
APT41,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,T1036.005,Match Legitimate Resource Name or Location,stealth,"Containers, ESXi, Linux, macOS, Windows"
APT41,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,T1543.003,Windows Service,persistence,Windows
APT41,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,T1543.003,Windows Service,privilege-escalation,Windows
APT28,attack-pattern--a782ebe2-daba-42c7-bc82-e8e9d923162d,T1090.003,Multi-hop Proxy,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
Lazarus Group,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23,T1591,Gather Victim Org Information,reconnaissance,PRE
Lazarus Group,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,T1106,Native API,execution,"Linux, macOS, Windows"
Lazarus Group,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,stealth,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,persistence,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,privilege-escalation,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
Lazarus Group,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,T1078,Valid Accounts,initial-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows"
APT28,attack-pattern--40597f16-0963-4249-bf4c-ac93b7fb9807,T1567,Exfiltration Over Web Service,exfiltration,"ESXi, Linux, macOS, Office Suite, SaaS, Windows"
APT41,attack-pattern--9a60a291-8960-4387-8a4a-2ab5c18bb50b,T1071.002,File Transfer Protocols,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,collection,"Linux, macOS, Network Devices, Windows"
APT28,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,T1056.001,Keylogging,credential-access,"Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,T1018,Remote System Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--deb98323-e13f-4b0c-8d94-175379069062,T1027.002,Software Packing,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,T1083,File and Directory Discovery,discovery,"ESXi, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082,T1553.002,Code Signing,defense-impairment,"macOS, Windows"
Lazarus Group,attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,T1027.009,Embedded Payloads,stealth,"Linux, macOS, Windows"
APT28,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c,T1190,Exploit Public-Facing Application,initial-access,"Containers, ESXi, IaaS, Linux, macOS, Network Devices, Windows"
APT41,attack-pattern--ec4be82f-940c-4dcb-87fe-2bbdd17c692f,T1596.005,Scan Databases,reconnaissance,PRE
APT41,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,T1588.002,Tool,resource-development,PRE
